Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,065394","3,6917E-17","-0,0291",0,0,0,"15,823","0,3231","-1,631E-16","0,036909","0,83124","1,728E-17","1,1312",0,0,0,0,0,0,package://rover_simple_v1_2/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://rover_simple_v1_2/meshes/base_link.STL,,body-1,base_coord_sis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RL2up_link,"0,00098326","-0,048163","0,06572",0,0,0,"0,35165","0,00058844","4,4854E-07","8,4163E-05","0,0067323","2,998E-05","0,0062126",0,0,0,0,0,0,package://rover_simple_v1_2/meshes/RL2up_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://rover_simple_v1_2/meshes/RL2up_link.STL,,L2_up-2,RL2up_coord_sis,RL2up_axis,RL2up_joint,revolute,"0,20894","-0,20857","-0,0127",0,0,0,base_link,0,1,0,0,0,"-1,5","1,5",,,"0,1","0,05",,,,
RL5Fup_link,"0,0076906","0,012145","-0,14103",0,0,0,"0,29333","0,0028904","-1,2514E-06","-0,00017855","0,0029492","-2,79E-05","0,00010048",0,0,0,0,0,0,package://rover_simple_v1_2/meshes/RL5Fup_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://rover_simple_v1_2/meshes/RL5Fup_link.STL,,L5_2-2,RL5Fup_coord_sis,RL5Fup_axis,RL5Fup_joint,revolute,"0,21835","-0,0858","0,12175",0,0,0,RL2up_link,0,1,0,0,0,"-1,5","1,5",,,"0,1","0,05",,,,
FR_link,"0,00015846","0,04999","0,00043787",0,0,0,"3,1305","0,010449","-2,4542E-06","2,8348E-06","0,015699","-6,782E-06","0,010455",0,0,0,0,0,0,package://rover_simple_v1_2/meshes/FR_link.STL,"0,69412","0,098039","0,098039",1,0,0,0,0,0,0,package://rover_simple_v1_2/meshes/FR_link.STL,,Tyre-6,FR_coord_sis,FR_axis,FR_joint,continuous,"-0,000176","-0,1","-0,31299",0,0,0,RL5Fup_link,0,1,0,0,0,0,0,,,,"0,1",,,,
RL5Mup_link,"-0,00769063863242325","0,0121452936339811","-0,14103025565529",0,0,0,"0,293330883283669","0,00289043444987535","1,25138283176357E-06","0,000178547994079131","0,00294920584403958","-2,79002722011482E-05","0,000100480286474077",0,0,0,0,0,0,package://rover_simple_v1_2/meshes/RL5Mup_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://rover_simple_v1_2/meshes/RL5Mup_link.STL,,L5-3,RL5Mup_coord_sis,RL5Mup_axis,RL5Mup_joint,revolute,"-0,21461","-0,0858","0,12822",0,0,0,RL2up_link,0,1,0,0,0,"-1,5","1,5",,,"0,1","0,05",,,,
MR_link,"-4,4033E-05","0,04999","0,00046357",0,0,0,"3,1305","0,010448","6,82E-07","-6,7415E-07","0,015699","-7,1801E-06","0,010456",0,0,0,0,0,0,package://rover_simple_v1_2/meshes/MR_link.STL,"0,69412","0,098039","0,098039",1,0,0,0,0,0,0,package://rover_simple_v1_2/meshes/MR_link.STL,,Tyre-5,MR_coord_sis,MR_axis,MR_joint,continuous,"4,8996E-05","-0,1","-0,31301",0,0,0,RL5Mup_link,0,1,0,,,,,,,,"0,1",,,,
RL2F_link,"0,10918","-0,0477","0,060874",0,0,0,"0,18497","0,00031847","3,5529E-05","-0,00051774","0,0012362","1,981E-05","0,00095834",0,0,0,0,0,0,package://rover_simple_v1_2/meshes/RL2F_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://rover_simple_v1_2/meshes/RL2F_link.STL,,L2_low-3,RL2F_coord_sis,RL2F_axis,RL2F_joint,revolute,"0,25269","-0,20857","-0,088477",0,0,0,base_link,0,1,0,0,0,"-1,5","1,5",,,"0,1","0,05",,,,
RL2M_link,"-0,10731","-0,0477","0,064112",0,0,0,"0,18497","0,00035","-3,492E-05","0,00053594","0,0012362","2,0864E-05","0,00092681",0,0,0,0,0,0,package://rover_simple_v1_2/meshes/RL2M_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://rover_simple_v1_2/meshes/RL2M_link.STL,,L2_low-4,RL2M_coord_sis,RL2M_axis,RL2M_joint,revolute,"0,16519","-0,20857","-0,088477",0,0,0,base_link,0,1,0,0,0,"-1,5","1,5",,,"0,1","0,05",,,,
LL2up_link,"0,00091645","0,048163","0,065721",0,0,0,"0,35165","0,00058828","-4,1806E-07","7,8446E-05","0,0067323","-2,9981E-05","0,0062127",0,0,0,0,0,0,package://rover_simple_v1_2/meshes/LL2up_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://rover_simple_v1_2/meshes/LL2up_link.STL,,L2_up-1,LL2up_coord_sis,LL2up_axis,LL2up_joint,revolute,"0,20894","0,20857","-0,0127",0,0,0,base_link,0,1,0,0,0,"-1,5","1,5",,,"0,1","0,05",,,,
LL5Fup_link,"0,0076906","-0,012145","-0,14103",0,0,0,"0,29333","0,0028904","1,2514E-06","-0,00017855","0,0029492","2,79E-05","0,00010048",0,0,0,0,0,0,package://rover_simple_v1_2/meshes/LL5Fup_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://rover_simple_v1_2/meshes/LL5Fup_link.STL,,L5-1,LL5Fup_coord_sis,LL5Fup_axis,LL5Fup_joint,revolute,"0,21823","0,0858","0,12197",0,0,0,LL2up_link,0,-1,0,0,0,"-1,5","1,5",,,"0,1","0,05",,,,
